[2025-12-11 11:18:27,907][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 3 ended
[2025-12-11 13:16:52,375][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_4
[2025-12-11 13:16:52,947][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_4/model.safetensors
[2025-12-11 13:16:52,996][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_4/optimizer.bin
[2025-12-11 13:16:52,999][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_4/scheduler.bin
[2025-12-11 13:16:52,999][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_4/sampler.bin
[2025-12-11 13:16:52,999][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_4/sampler_1.bin
[2025-12-11 13:16:53,001][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_4/scaler.pt
[2025-12-11 13:16:53,004][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_4/random_states_0.pkl
[2025-12-11 13:16:53,004][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_4/custom_checkpoint_0.pkl
[2025-12-11 13:16:53,019][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-11 13:16:53,588][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-11 13:16:53,656][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-11 13:16:53,658][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-11 13:16:53,658][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-11 13:16:53,658][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-11 13:16:53,660][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-11 13:16:53,662][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-11 13:16:53,662][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-11 13:16:53,664][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 4 ended
[2025-12-11 15:14:55,631][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_5
[2025-12-11 15:14:56,161][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_5/model.safetensors
